id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Shexmo Richarlison Ribeiro dos Santos, Raiane Eunice S. Fernandes, + 4",2026,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software QualityPages 519–525https://doi.org/10.1145/3701625.3701637,String A,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
2,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Munima Jahan, Mohammad Mahdi Hassan, Reza Golpayegani, Golshid Ranjbaran, + 3",2026,MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and SystemsPages 138–148https://doi.org/10.1145/3640310.3674081,String A,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
3,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"Wail Khelifa, Bruno Bouchard, Gilles Imbeau",2026,ICSIM '26: Proceedings of the  9th International Conference on Software Engineering and Information ManagementPages 104–113https://doi.org/10.1145/3796315.3796330,String A,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
4,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Severin Bergsmann, Alexander Schmidt, Stefan Fischer, Rudolf Ramler",2024,"A-TEST : Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and EvaluationPages 12–15https://doi.org/10.1145/3678719.3685692",String A; String B,UNSURE,Không rõ bài nghiên cứu có số liệu kết quả thực nghiệm chi tiết không,INCLUDE,
5,AI-Driven Acceptance Testing: first insights exploring the educational potential for test analysts,"Caio Jordan de Lima Maia, Yuska Paola Costa Aguiar",2026,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software QualityPages 665–672https://doi.org/10.1145/3701625.3701691,String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
