id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
23,From bugs to benefits: Improving user stories by leveraging crowd knowledge with cruise-ac,"S Schwedt, T Ströder - arXiv preprint arXiv:2501.15181, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
24,"Selfbehave, generating a synthetic behaviour-driven development dataset using self-instruct","M Galloy, M Balfroid, B Vanderose… - … on Software Testing …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
25,First experiments on automated execution of gherkin test specifications with collaborating llm agents,"S Bergsmann, A Schmidt, S Fischer… - Proceedings of the 15th …, 2024",2026,dl.acm.org,String A,UNSURE,Không rõ bài nghiên cứu có số liệu kết quả thực nghiệm chi tiết không,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
26,Exploring Behavior-Driven Development,"Y Liang, C Gan, R Ying, Z Cui - … ICIC 2025, Ningbo, China, July 26 …, 2025",2026,books.google.com,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
27,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"PL Fonseca, B Lima, JP Faria - arXiv preprint arXiv:2510.18861, 2025",2026,arxiv.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
28,Prompt-Based Automation of Agile Requirements Documentation: Design for Limited-Infrastructure Environment,"R Kruk, N Zhukovska - Моделювання, керування та …, 2025",2026,mcitjournal.org.ua,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
29,Private GPTs for LLM-driven testing in software development and machine learning,"J Jagielski, C Rojas, M Abel - arXiv preprint arXiv:2506.06509, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
30,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,"J Jagielski, C Rojas, M Abel - 2025 2nd International …, 2025",2026,ieeexplore.ieee.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
31,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"W Khelifa, B Bouchard, G Imbeau - Proceedings of the 2026 9th …, 2026",2026,dl.acm.org,String A,INCLUDE,,,
32,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments.,"FA Almeyda Alania… - International …, 2025",2026,search.ebscohost.com,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
33,From law to Gherkin: A human-centred quasi-experiment on the quality of LLM-generated behavioural specifications from food-safety regulations,"S Hassani, M Sabetzadeh, D Amyot - Information and Software Technology, 2026",2026,Elsevier,String A,INCLUDE,,,
34,Benchmarking AI-Facilitated UI Test-Script Generation: A Reproducible Evaluation Framework,"A Poth, O Rrjolli, H Wang - European Conference on Software Process …, 2025",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
35,Can llms generate user stories and assess their quality?,"G Quattrocchi, L Pasquale, P Spoletini… - IEEE Transactions on …, 2026",2026,ieeexplore.ieee.org,String A,INCLUDE,,,
36,Think Like an Engineer: A Neuro-Symbolic Collaboration Agent for Generative Software Requirements Elicitation and Self-Review,"S Zhang, Z Xing, J Chen, D Zhao, Z Zhu… - arXiv preprint arXiv …, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
37,Augmenting software quality assurance with AI and automation using PyTest-BDD,"X Zhao, H Wang, JQ Ding, Z Hu, Q Tian… - Automated Software …, 2026",2026,Springer,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
38,Geração automática de autômatos finitos a partir de especificações de desenvolvimento orientado por comportamento.,JP LIMA FILHO,2025,dspace.sti.ufcg.edu.br,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
39,Use of chatgpt as an assistant in the end-to-end test script generation for android apps,"B García, M Leotta, F Ricca, J Whitehead - Proceedings of the 15th ACM …, 2024",2026,dl.acm.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
40,SELF-INSTRUCT,"M Galloy, M Balfroid, B Vanderose, X Devroey",2026,xdevroey.be,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
41,LARGE LANGUAGE MODELS IN HIGH-LEVEL SOFTWARE TESTING,T Grönberg,2026,trepo.tuni.fi,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
42,Da Gherkin a Selenium: Valutazione Empirica e Prototipo di uno Strumento per la Generazione di Test End-to-End basata su LLM,A Akimbetova,2026,unire.unige.it,String A,INCLUDE,,,
43,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"JG Santos, RSP Maciel - … Brasileiro de Engenharia de Software (SBES …, 2024",2026,sol.sbc.org.br,String A; String B,INCLUDE,,,
44,Automated derivation of uml sequence diagrams from user stories: Unleashing the power of generative ai vs. a rule-based approach,"M Jahan, MM Hassan, R Golpayegani… - Proceedings of the …, 2024",2026,dl.acm.org,String A,INCLUDE,,,
45,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"D Hoffmann, SR Ammana, AJ Dsouza… - 2025 IEEE …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
46,Leveraging text generation for enhanced user story quality,CA dos Santos,2025,constellation.uqac.ca,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,,
